Virus Method Radius AUC
EBOV Bayes 8 0.730486768800945
H3 Bayes 8 0.7328167115902965
H7 Bayes 8 0.6522470278001251
RSV Bayes 8 0.574207992753782
SARS1 Bayes 8 0.5718333604821632
SARS2 Bayes 8 0.7517385472391864
HIV Bayes 8 0.715611977685716
EBOV Random 8 0.4776390063746385
H3 Random 8 0.4889188379754417
H7 Random 8 0.46489228568874585
RSV Random 8 0.5096202309731992
SARS1 Random 8 0.4438345007330184
SARS2 Random 8 0.5035489637790447
HIV Random 8 0.49015005390081373
EBOV Bayes 16 0.8142803698359252
H3 Bayes 16 0.7678197064989518
H7 Bayes 16 0.6964333601501743
RSV Bayes 16 0.5860287511230908
SARS1 Bayes 16 0.6554479556931097
SARS2 Bayes 16 0.8110388360239233
HIV Bayes 16 0.7406915229287268
EBOV Random 16 0.5170828887303983
H3 Random 16 0.5318209044624138
H7 Random 16 0.4730267274515062
RSV Random 16 0.5011468308753169
SARS1 Random 16 0.4877952435250041
SARS2 Random 16 0.5041139087837
HIV Random 16 0.5044407623673397
EBOV Bayes 24 0.8297166151572283
H3 Bayes 24 0.7507861635220126
H7 Bayes 24 0.6983496469115938
RSV Bayes 24 0.6112681611991322
SARS1 Bayes 24 0.7122462941847206
SARS2 Bayes 24 0.8562548158969122
HIV Bayes 24 0.7652167099247376
EBOV Random 24 0.5050173326035395
H3 Random 24 0.4747304582210242
H7 Random 24 0.5374821221060159
RSV Random 24 0.4919502699070117
SARS1 Random 24 0.5100276918064832
SARS2 Random 24 0.4929093315118027
HIV Random 24 0.5060237241549228
EBOV Bayes 32 0.8247647059907596
H3 Bayes 32 0.6951182988918838
H7 Bayes 32 0.6954444891391793
RSV Bayes 32 0.6432607250600808
SARS1 Bayes 32 0.7223790519628603
SARS2 Bayes 32 0.8840084493770051
HIV Bayes 32 0.7890354020310679
EBOV Random 32 0.5086405009776658
H3 Random 32 0.4952830188679245
H7 Random 32 0.5162102216858855
RSV Random 32 0.5077338037531318
SARS1 Random 32 0.5065979801270565
SARS2 Random 32 0.5034836772374054
HIV Random 32 0.4920184789980774
EBOV Bayes 40 0.8064701014892586
H3 Bayes 40 0.656858340820605
H7 Bayes 40 0.6925309511039599
RSV Bayes 40 0.6623313537717588
SARS1 Bayes 40 0.7240877993158495
SARS2 Bayes 40 0.8950166259752966
HIV Bayes 40 0.8131683084461762
EBOV Random 40 0.47591772495987056
H3 Random 40 0.5048667265648397
H7 Random 40 0.4726663761508895
RSV Random 40 0.5151096793986808
SARS1 Random 40 0.516190747678775
SARS2 Random 40 0.5187187065329375
HIV Random 40 0.5145692033137135
EBOV Bayes 48 0.795075365956592
H3 Bayes 48 0.6348831985624438
H7 Bayes 48 0.6885140117994101
RSV Bayes 48 0.6602422223683153
SARS1 Bayes 48 0.7321966118260302
SARS2 Bayes 48 0.8972773077417304
HIV Bayes 48 0.819265664397092
EBOV Random 48 0.5081779296338683
H3 Random 48 0.5543575920934412
H7 Random 48 0.4845440019665683 
RSV Random 48 0.511822584533123
SARS1 Random 48 0.531694086984851
SARS2 Random 48 0.5110393319852204
HIV Random 48 0.47549922698796837
EBOV Ellipro Ellipro 0.8008326284188354
H3 Ellipro Ellipro 0.5932539682539683
H7 Ellipro Ellipro 0.7507877447036739
RSV Ellipro Ellipro 0.7580396861920102
SARS1 Ellipro Ellipro 0.7663854047890537
SARS2 Ellipro Ellipro 0.8143711548909673
HIV Ellipro Ellipro 0.7039313726321481
EBOV Discotope Discotope 0.8360534739845085
H3 Discotope Discotope 0.5047169811320755
H7 Discotope Discotope 0.5573363614016268
RSV Discotope Discotope 0.7191780071439529
HIV Discotope Discotope 0.7041824322039258
EBOV Bayes 56 0.7914908987705923
H3 Bayes 56 0.6109239293201557
H7 Bayes 56 0.6878156565656566
RSV Bayes 56 0.6506219913951161
SARS1 Bayes 56 0.738162567193354
SARS2 Bayes 56 0.8974405240958288
HIV Bayes 56 0.8090765052390655
EBOV Bayes 64 0.7844749262373782
H3 Bayes 64 0.6022761305780174
H7 Bayes 64 0.6883911012782693
RSV Bayes 64 0.6413505577104289
SARS1 Bayes 64 0.736836618341749
SARS2 Bayes 64 0.8970644050831524
HIV Bayes 64 0.7936299091478174
EBOV Random 56 0.5034950858705648
H3 Random 56 0.5110062893081762
H7 Random 56 0.5152241440958255
RSV Random 56 0.48757843373581977
SARS1 Random 56 0.4513674865613292
SARS2 Random 56 0.497176221811927
HIV Random 56 0.4943810314357576
